swap_station_serial_id,state,previous_state,state_change_timestamp,event_type,location_latitude,location_longitude,city,last_updated_at
bs0030,Amber,Green,2026-04-20 05:45:01,STATE_CHANGE,-1.32456511,36.79599158,Kenya,2026-04-20 05:45:01
bs0030,Green,Amber,2026-04-20 05:46:02,STATE_CHANGE,-1.32456511,36.79599158,Kenya,2026-04-20 05:46:02
bs0008,Grey,Green,2026-04-20 06:14:01,STATE_CHANGE,-1.264197845,36.80534064,Kenya,2026-04-20 06:14:01
bs0008,Green,Grey,2026-04-20 06:22:01,STATE_CHANGE,-1.264197845,36.80534064,Kenya,2026-04-20 06:22:01
bs0061,Grey,Green,2026-04-20 07:29:01,STATE_CHANGE,-1.3087667,36.860551,Kenya,2026-04-20 07:29:01
bs0061,Green,Grey,2026-04-20 07:30:01,STATE_CHANGE,-1.3087667,36.860551,Kenya,2026-04-20 07:30:01
bs0020,Green,Grey,2026-04-20 08:10:01,STATE_CHANGE,-1.1078375,37.0139219,Kenya,2026-04-20 08:10:01
bs0041,Amber,Green,2026-04-20 08:22:01,STATE_CHANGE,-1.277534452,36.79393909,Kenya,2026-04-20 08:22:01
bs0041,Green,Amber,2026-04-20 08:23:01,STATE_CHANGE,-1.277534452,36.79393909,Kenya,2026-04-20 08:23:01
bs0054,Amber,Green,2026-04-20 08:25:01,STATE_CHANGE,-1.400266,36.9439122,Kenya,2026-04-20 08:25:01
bs0054,Green,Amber,2026-04-20 08:26:01,STATE_CHANGE,-1.400266,36.9439122,Kenya,2026-04-20 08:26:01
bs0041,Red,Green,2026-04-20 09:13:01,STATE_CHANGE,-1.277534452,36.79393909,Kenya,2026-04-20 09:13:01
bs0027,Red,Green,2026-04-20 09:13:01,STATE_CHANGE,-1.2642052,36.80537588,Kenya,2026-04-20 09:13:01
bs0043,Red,Green,2026-04-20 09:13:01,STATE_CHANGE,-1.24311724,36.88041377,Kenya,2026-04-20 09:13:01
bs0034,Amber,Green,2026-04-20 09:14:01,STATE_CHANGE,-0.4306375,36.9514531,Kenya,2026-04-20 09:14:01
bs0034,Green,Amber,2026-04-20 09:17:01,STATE_CHANGE,-0.4306375,36.9514531,Kenya,2026-04-20 09:17:01
bs0041,Amber,Red,2026-04-20 09:21:01,STATE_CHANGE,-1.277534452,36.79393909,Kenya,2026-04-20 09:21:01
bs0027,Amber,Red,2026-04-20 09:25:01,STATE_CHANGE,-1.2642052,36.80537588,Kenya,2026-04-20 09:25:01
bs0041,Grey,Amber,2026-04-20 09:27:01,STATE_CHANGE,-1.277534452,36.79393909,Kenya,2026-04-20 09:27:01
bs0041,Green,Grey,2026-04-20 09:31:01,STATE_CHANGE,-1.277534452,36.79393909,Kenya,2026-04-20 09:31:01
bs0043,Amber,Red,2026-04-20 09:31:01,STATE_CHANGE,-1.24311724,36.88041377,Kenya,2026-04-20 09:31:01
bs0027,Green,Amber,2026-04-20 09:32:01,STATE_CHANGE,-1.2642052,36.80537588,Kenya,2026-04-20 09:32:01
bs0015,Amber,Green,2026-04-20 09:33:02,STATE_CHANGE,-1.275095,36.972193,Kenya,2026-04-20 09:33:02
bs0024,Red,Green,2026-04-20 09:38:01,STATE_CHANGE,-1.2980556,36.8183333,Kenya,2026-04-20 09:38:01
bs0027,Amber,Green,2026-04-20 09:40:01,STATE_CHANGE,-1.2642052,36.80537588,Kenya,2026-04-20 09:40:01
bs0027,Green,Amber,2026-04-20 09:41:01,STATE_CHANGE,-1.2642052,36.80537588,Kenya,2026-04-20 09:41:01
bs0035,Amber,Green,2026-04-20 09:42:01,STATE_CHANGE,-1.3064295,36.8882947,Kenya,2026-04-20 09:42:01
bs0043,Green,Amber,2026-04-20 09:42:01,STATE_CHANGE,-1.24311724,36.88041377,Kenya,2026-04-20 09:42:01
bs0015,Green,Amber,2026-04-20 09:43:01,STATE_CHANGE,-1.275095,36.972193,Kenya,2026-04-20 09:43:01
bs0043,Red,Green,2026-04-20 09:45:01,STATE_CHANGE,-1.24311724,36.88041377,Kenya,2026-04-20 09:45:01
bs0048,Red,Green,2026-04-20 09:45:01,STATE_CHANGE,-1.294223033,36.80532385,Kenya,2026-04-20 09:45:01
bs0043,Amber,Red,2026-04-20 09:47:01,STATE_CHANGE,-1.24311724,36.88041377,Kenya,2026-04-20 09:47:01
bs0007,Red,Green,2026-04-20 09:48:01,STATE_CHANGE,-1.293519818,36.76162793,Kenya,2026-04-20 09:48:01
bs0034,Red,Green,2026-04-20 09:49:01,STATE_CHANGE,-0.4306375,36.9514531,Kenya,2026-04-20 09:49:01
bs0027,Amber,Green,2026-04-20 09:49:01,STATE_CHANGE,-1.2642052,36.80537588,Kenya,2026-04-20 09:49:01
bs0017,Red,Green,2026-04-20 09:50:01,STATE_CHANGE,-1.2667375,36.8456719,Kenya,2026-04-20 09:50:01
bs0027,Green,Amber,2026-04-20 09:51:01,STATE_CHANGE,-1.2642052,36.80537588,Kenya,2026-04-20 09:51:01
bs0043,Green,Amber,2026-04-20 09:52:01,STATE_CHANGE,-1.24311724,36.88041377,Kenya,2026-04-20 09:52:01
bs0030,Red,Green,2026-04-20 09:54:01,STATE_CHANGE,-1.32456511,36.79599158,Kenya,2026-04-20 09:54:01
bs0035,Green,Amber,2026-04-20 09:54:01,STATE_CHANGE,-1.3064295,36.8882947,Kenya,2026-04-20 09:54:01
bs0041,Red,Green,2026-04-20 09:55:01,STATE_CHANGE,-1.277534452,36.79393909,Kenya,2026-04-20 09:55:01
bs0023,Red,Green,2026-04-20 09:56:01,STATE_CHANGE,-1.215112301,36.89190192,Kenya,2026-04-20 09:56:01
bs0024,Amber,Red,2026-04-20 09:57:01,STATE_CHANGE,-1.2980556,36.8183333,Kenya,2026-04-20 09:57:01
bs0035,Red,Green,2026-04-20 09:58:01,STATE_CHANGE,-1.3064295,36.8882947,Kenya,2026-04-20 09:58:01
bs0013,Red,Green,2026-04-20 10:01:01,STATE_CHANGE,-1.2303625,36.6823281,Kenya,2026-04-20 10:01:01
bs0023,Amber,Red,2026-04-20 10:01:01,STATE_CHANGE,-1.215112301,36.89190192,Kenya,2026-04-20 10:01:01
bs0025,Red,Green,2026-04-20 10:05:01,STATE_CHANGE,-1.217798261,36.89793289,Kenya,2026-04-20 10:05:01
bs0024,Green,Amber,2026-04-20 10:09:01,STATE_CHANGE,-1.2980556,36.8183333,Kenya,2026-04-20 10:09:01
bs0023,Green,Amber,2026-04-20 10:09:01,STATE_CHANGE,-1.215112301,36.89190192,Kenya,2026-04-20 10:09:01
bs0034,Amber,Red,2026-04-20 10:10:01,STATE_CHANGE,-0.4306375,36.9514531,Kenya,2026-04-20 10:10:01
bs0013,Amber,Red,2026-04-20 10:11:01,STATE_CHANGE,-1.2303625,36.6823281,Kenya,2026-04-20 10:11:01
bs0048,Amber,Red,2026-04-20 10:11:01,STATE_CHANGE,-1.294223033,36.80532385,Kenya,2026-04-20 10:11:01
bs0025,Amber,Red,2026-04-20 10:12:01,STATE_CHANGE,-1.217798261,36.89793289,Kenya,2026-04-20 10:12:01
bs0027,Red,Green,2026-04-20 10:13:01,STATE_CHANGE,-1.2642052,36.80537588,Kenya,2026-04-20 10:13:01
bs0027,Amber,Red,2026-04-20 10:16:01,STATE_CHANGE,-1.2642052,36.80537588,Kenya,2026-04-20 10:16:01
bs0013,Green,Amber,2026-04-20 10:18:01,STATE_CHANGE,-1.2303625,36.6823281,Kenya,2026-04-20 10:18:01
bs0017,Amber,Red,2026-04-20 10:19:01,STATE_CHANGE,-1.2667375,36.8456719,Kenya,2026-04-20 10:19:01
bs0048,Green,Amber,2026-04-20 10:19:01,STATE_CHANGE,-1.294223033,36.80532385,Kenya,2026-04-20 10:19:01
bs0035,Amber,Red,2026-04-20 10:20:01,STATE_CHANGE,-1.3064295,36.8882947,Kenya,2026-04-20 10:20:01
bs0025,Green,Amber,2026-04-20 10:22:02,STATE_CHANGE,-1.217798261,36.89793289,Kenya,2026-04-20 10:22:02
bs0034,Green,Amber,2026-04-20 10:23:01,STATE_CHANGE,-0.4306375,36.9514531,Kenya,2026-04-20 10:23:01
bs0002,Amber,Green,2026-04-20 10:23:01,STATE_CHANGE,0.005700848267,37.07249942,Kenya,2026-04-20 10:23:01
bs0027,Green,Amber,2026-04-20 10:24:01,STATE_CHANGE,-1.2642052,36.80537588,Kenya,2026-04-20 10:24:01
bs0034,Red,Green,2026-04-20 10:25:01,STATE_CHANGE,-0.4306375,36.9514531,Kenya,2026-04-20 10:25:01
bs0017,Green,Amber,2026-04-20 10:25:01,STATE_CHANGE,-1.2667375,36.8456719,Kenya,2026-04-20 10:25:01
bs0017,Red,Green,2026-04-20 10:26:01,STATE_CHANGE,-1.2667375,36.8456719,Kenya,2026-04-20 10:26:01
bs0023,Red,Green,2026-04-20 10:26:01,STATE_CHANGE,-1.215112301,36.89190192,Kenya,2026-04-20 10:26:01
bs0025,Red,Green,2026-04-20 10:27:01,STATE_CHANGE,-1.217798261,36.89793289,Kenya,2026-04-20 10:27:01
bs0007,Amber,Red,2026-04-20 10:27:01,STATE_CHANGE,-1.293519818,36.76162793,Kenya,2026-04-20 10:27:01
bs0030,Amber,Red,2026-04-20 10:29:01,STATE_CHANGE,-1.32456511,36.79599158,Kenya,2026-04-20 10:29:01
bs0041,Amber,Red,2026-04-20 10:29:01,STATE_CHANGE,-1.277534452,36.79393909,Kenya,2026-04-20 10:29:01
bs0035,Green,Amber,2026-04-20 10:30:01,STATE_CHANGE,-1.3064295,36.8882947,Kenya,2026-04-20 10:30:01
bs0022,Red,Green,2026-04-20 10:30:01,STATE_CHANGE,-1.259370926,36.81692897,Kenya,2026-04-20 10:30:01
bs0035,Red,Green,2026-04-20 10:32:01,STATE_CHANGE,-1.3064295,36.8882947,Kenya,2026-04-20 10:32:01
bs0002,Green,Amber,2026-04-20 10:33:01,STATE_CHANGE,0.005700848267,37.07249942,Kenya,2026-04-20 10:33:01
bs0022,Amber,Red,2026-04-20 10:34:01,STATE_CHANGE,-1.259370926,36.81692897,Kenya,2026-04-20 10:34:01
bs0023,Amber,Red,2026-04-20 10:35:01,STATE_CHANGE,-1.215112301,36.89190192,Kenya,2026-04-20 10:35:01
bs0017,Amber,Red,2026-04-20 10:36:01,STATE_CHANGE,-1.2667375,36.8456719,Kenya,2026-04-20 10:36:01
bs0007,Green,Amber,2026-04-20 10:36:01,STATE_CHANGE,-1.293519818,36.76162793,Kenya,2026-04-20 10:36:01
bs0041,Green,Amber,2026-04-20 10:38:01,STATE_CHANGE,-1.277534452,36.79393909,Kenya,2026-04-20 10:38:01
bs0035,Amber,Red,2026-04-20 10:40:01,STATE_CHANGE,-1.3064295,36.8882947,Kenya,2026-04-20 10:40:01
bs0029,Red,Green,2026-04-20 10:43:01,STATE_CHANGE,-0.4216641356,36.95238229,Kenya,2026-04-20 10:43:01
bs0030,Green,Amber,2026-04-20 10:44:01,STATE_CHANGE,-1.32456511,36.79599158,Kenya,2026-04-20 10:44:01
bs0022,Green,Amber,2026-04-20 10:45:01,STATE_CHANGE,-1.259370926,36.81692897,Kenya,2026-04-20 10:45:01
bs0023,Green,Amber,2026-04-20 10:45:01,STATE_CHANGE,-1.215112301,36.89190192,Kenya,2026-04-20 10:45:01
bs0034,Amber,Red,2026-04-20 10:46:01,STATE_CHANGE,-0.4306375,36.9514531,Kenya,2026-04-20 10:46:01
bs0026,Amber,Green,2026-04-20 10:46:01,STATE_CHANGE,-1.2152568,36.8918121,Kenya,2026-04-20 10:46:01
bs0017,Green,Amber,2026-04-20 10:48:01,STATE_CHANGE,-1.2667375,36.8456719,Kenya,2026-04-20 10:48:01
