SS Code,Station Name,City
bs0005,Nan Matt 1 - Nanyuki,Nanyuki
bs0002,Peak Place 1 - Nanyuki,Nanyuki
bs0016,Peak Place 2 - Nanyuki,Nanyuki
bs0006,Zeno Hub - Nyeri,Nyeri
bs0003,Dormans - Nanyuki,Nanyuki
bs0009,Zeno Hub - Eastern bypass,Nairobi
bs0010,Zeno Hub - Thika Town,Nairobi
bs0025,Zeno Hub - Kasarani,Nairobi
bs0014,"Jubilee house,Imara Daima",Nairobi
bs0017,"Extra Miles Auto spares,Eastleigh",Nairobi
bs0032,Jam Rescue - Jogoo Rd,Nairobi
bs0019,District Mall - Mombasa Rd,Nairobi
bs0018,Be Energy - Kayole,Nairobi
bs0022,Pop Up mall - Parklands,Nairobi
bs0007,Zeno Hub - Dagoretti Corner,Nairobi
bs0008,Zeno Hub Westlands -2,Nairobi
bs0029,Cumulus - Nyeri,Nyeri
bs0031,Wabi Energy - Jogoo Rd,Nairobi
bs0024,Mavuno Garage Upperhill,Nairobi
bs0027,Zeno Hub - Westlands,Nairobi
bs0021,M Square - Kilimani,Nairobi
bs0030,Zeno Service Centre - Bunyala Rd 2,Nairobi
bs0028,Be Energy - Kitengela,Nairobi
bs0023,Quickmart - Roysambu 2,Nairobi
bs0015,Be Energy - Utawala,Nairobi
bs0013,Be Energy - Gitaru,Nairobi
bs0036,Be Energy - Rongai,Nairobi
bs0040,Kenya Continental Hotel - Rhapta,Nairobi
bs0041,Tabere Crecent - Kilimani,Nairobi
bs0043,Zeno HQ - Baba Dogo,Nairobi
bs0047,Nan Matt 2 - Nanyuki,Nanyuki
bs0046,Royal Apartments-Nanyuki,Nanyuki
bs0037,Quickmart - Ruaka,Nairobi
bs0045,KFA - NaroMoru,Naro Moru
bs0038,Quickmart - Kileleshwa,Nairobi
bs0033,Quickmart - Kilimani,Nairobi
bs0044,Quickmart - Thome,Nairobi
bs0039,Universal Plaza-Kikuyu,Nairobi
bs0042,Quickmart - Embakasi,Nairobi
bs0057,BE Energy - Kiambu,Nairobi
bs0035,Be Energy - Outering,Nairobi
bs0060,Be Energy Racecourse - Ngong,Nairobi
bs0034,Ngangarithi - Nyeri,Nyeri
bs0026,Quickmart - Roysambu 1,Nairobi
bs0052,La Casa Bendicta - Ngara,Nairobi
bs0053,Zeno Service Centre - Bunyala Rd 1,Nairobi
bs0048,Yakama Motors - Upperhill,Nairobi
bs0058,Zeno Service Centre - Quickmart Waiyaki Way,Nairobi
bs0049,Xpress Auto - Kawangare,Nairobi
bs0051,Pitstop - NBO West,Nairobi
bs0055,Lang'ata Mall- Langata,Nairobi
bs0065,One Stop Arcade - Karen,Nairobi
bs0059,Milimani Business Park - Kilimani,Nairobi
bs0050,Gigiri Courtyard - Gigiri,Nairobi
bs0056,Kwa Ndwaru -Kangemi,Nairobi
bs0064,Quickmart- Eastern Bypass,Nairobi
bs0061,Lunga-Lunga Square - Industrial,Nairobi
bs0054,Anthena Hotel - Mlongono,Nairobi
bs0020,Kalimoni - Juja,Nairobi
bs0062,Greenwheels HQ - Onboarding,Nairobi
bs0071,Be Energy Njiru,Nairobi
bs0070,Quickmart Roasters 1,Nairobi
bs0069,Quickmart Roasters 2,Nairobi
bs0066,Nyeri Zeno Hub 2,Nyeri
bs0068,Bunyala Service Center 3,Nairobi
bs0067,Jam Rescue Jogoo Rd 2,Nairobi
bs0077,Zeno Service Centre - Quickmart Waiyaki Way 2,Nairobi
bs,National Oil Ngong Rd,Nairobi
bs0072,Pop Up mall - Parklands 2,Nairobi
bs0079,Kenya Continental Hotel 2 - Rhapta,Nairobi
bs0073,MAvuno Garage Upperhill 2,Nairobi
bs0076,Quickmart - Kilimani 2,Nairobi
bs0075,M Square - Kilimani 2,Nairobi
bs0074,Carrots Timber Yard - Hunters,Nairobi
